facility_id,model_id,produced_qty,defect_qty
EQ-01,DISP-01,1221,45
EQ-01,DISP-02,1269,27
EQ-01,DISP-03,991,46
EQ-01,DISP-04,1131,30
EQ-01,DISP-05,1322,35
EQ-01,DISP-06,1151,54
EQ-01,DISP-07,802,32
EQ-01,DISP-08,835,33
EQ-01,DISP-09,987,14
EQ-01,DISP-10,1349,49
EQ-02,DISP-01,921,50
EQ-02,DISP-02,1367,38
EQ-02,DISP-03,826,13
EQ-02,DISP-04,1218,30
EQ-02,DISP-05,946,28
EQ-02,DISP-06,1401,51
EQ-02,DISP-07,999,25
EQ-02,DISP-08,1262,60
EQ-02,DISP-09,1450,26
EQ-02,DISP-10,1102,63
EQ-03,DISP-01,877,11
EQ-03,DISP-02,1137,51
EQ-03,DISP-03,854,44
EQ-03,DISP-04,995,46
EQ-03,DISP-05,1164,59
EQ-03,DISP-06,1497,62
EQ-03,DISP-07,1104,45
EQ-03,DISP-08,1217,36
EQ-03,DISP-09,1006,38
EQ-03,DISP-10,1287,82
EQ-04,DISP-01,1102,42
EQ-04,DISP-02,870,40
EQ-04,DISP-03,1350,75
EQ-04,DISP-04,1133,58
EQ-04,DISP-05,1481,32
EQ-04,DISP-06,1290,29
EQ-04,DISP-07,914,41
EQ-04,DISP-08,945,44
EQ-04,DISP-09,1028,53
EQ-04,DISP-10,892,49
EQ-05,DISP-01,806,41
EQ-05,DISP-02,1414,79
EQ-05,DISP-03,1223,43
EQ-05,DISP-04,833,42
EQ-05,DISP-05,1004,26
EQ-05,DISP-06,820,22
EQ-05,DISP-07,1201,71
EQ-05,DISP-08,919,36
EQ-05,DISP-09,1076,36
EQ-05,DISP-10,1280,40
